Country,Female_Obesity,Male_Obesity
Afghanistan,8.629136681818181,6.8983452613636365
Africa,5.600577068181818,3.732064340909091
Albania,10.205530756818181,11.659642156818181
Algeria,17.119436750000002,13.008456727272726
American Samoa,35.27679729545454,38.42571356818182
Americas Region,18.76397456818182,19.850945727272727
Andorra,11.372691268181818,15.420737772727273
Angola,5.256260406818182,4.2386437659090905
Antigua and Barbuda,26.598203954545454,21.76593740909091
Argentina,18.78383411818182,20.088790886363636
Armenia,12.569973845454546,11.38717351590909
Australia,16.28197228409091,18.76183802272727
Austria,9.192645209090909,13.685226977272727
Azerbaijan,13.495185279545455,8.472667772727274
Bahamas,33.45826563636364,25.277523386363637
Bahrain,22.03811234090909,21.788933681818182
Bangladesh,2.5201140502272725,1.4296797547727274
Barbados,26.189234204545457,21.687459727272728
Belarus,11.533022920454545,12.36905975909091
Belgium,9.27087543409091,10.655481277272727
Belize,26.091473727272728,21.967925954545453
Benin,5.7096627522727275,5.0933779409090905
Bermuda,21.557108795454546,18.798626454545452
Bhutan,6.692045740909091,4.865693697727273
"Bolivia, Plurinational State of",15.223773768181816,16.82432268409091
Bosnia and Herzegovina,12.838161647727274,15.064166911363635
Botswana,9.478464677272727,4.921567095454545
Brazil,16.405597788636364,16.789022388636365
Brunei Darussalam,19.133891318181817,23.48832472727273
Bulgaria,12.364177999999999,15.80430259090909
Burkina Faso,2.211253506590909,1.2240508311363636
Burundi,1.4838916329545455,3.125493131818182
Cabo Verde,7.815119975000001,3.403244915909091
Cambodia,2.363941384318182,6.373989013636364
Cameroon,6.816587013636364,3.757503931818182
Canada,13.143330534090909,16.586811454545455
Central African Republic,4.719693879545455,4.196810931818182
Chad,2.2944257563636365,4.068687784090909
Chile,25.48528275,30.63340752272727
China,6.043228813636364,11.071551186363637
Colombia,12.57458734318182,9.905598379545454
Comoros,8.032860297727273,3.5413799545454547
Congo,3.5838677154545455,2.8847435795454546
"Congo, The Democratic Republic of the",4.187152709090909,3.531078486363636
Cook Islands,37.60619715909091,42.164092
Costa Rica,16.98786120681818,15.514306954545454
Croatia,13.455669972727271,16.559364454545456
Cuba,17.321021022727273,17.142109711363638
Cyprus,13.559759013636363,19.15392109090909
Czechia,10.052727638636362,13.43106928409091
Côte d'Ivoire,5.546588075,5.359198734090909
Denmark,5.7479237,9.165843211363637
Djibouti,5.288513479545454,3.126434240909091
Dominica,22.956031749999998,15.290537488636364
Dominican Republic,16.74225771818182,14.794485700000001
Eastern Mediterranean Region,14.089110613636365,12.188216636363636
Ecuador,13.575570809090909,14.761668272727274
Egypt,28.497828522727275,19.720227613636364
El Salvador,16.72040325681818,13.043348329545454
Equatorial Guinea,8.906093643181817,4.6918026818181815
Eritrea,3.249661965909091,2.283925758636364
Estonia,11.91130021590909,14.375753929545454
Eswatini,13.782237168181819,5.9814333227272725
Ethiopia,1.7673463145454547,1.2154596336363637
Europe,11.228665477272727,12.44738775
Fiji,14.390791075,15.065738531818182
Finland,11.87578320909091,14.007369406818183
France,6.057107125000001,6.929082284090909
French Polynesia,26.88532170454545,31.46260009090909
Gabon,9.289715052272728,5.234950111363637
Gambia,5.919949497727273,4.4445719613636365
Georgia,14.32954159090909,15.009478611363637
Germany,10.584586995454545,13.785528802272728
Ghana,8.12837494090909,5.868040347727273
Global,8.385942545454546,8.974787886363636
Greece,15.858503840909092,19.51221575
Greenland,11.486266825,9.099304231818182
Grenada,21.128913909090908,17.183886909090912
Guatemala,11.120280047727272,10.11786361590909
Guinea,4.227956470454545,2.9428013863636364
Guinea-Bissau,4.825079404545455,4.0618345795454545
Guyana,17.152820090909092,11.435539668181818
Haiti,4.982178154545455,14.728831731818183
High Income,14.77973675,17.376672863636365
Honduras,14.355572502272729,14.484374856818182
Hungary,15.852681404545455,19.575411136363638
Iceland,9.903268890909091,12.435549963636364
India,3.540515220454545,3.316530627272727
Indonesia,8.454011020454546,7.582265454545455
"Iran, Islamic Republic of",13.38863745,13.232738245454545
Iraq,24.322120363636362,16.701087522727274
Ireland,12.728517961363638,14.282785704545455
Israel,11.317286136363636,13.166475452272726
Italy,12.223893593181817,15.472811372727273
Jamaica,20.990083738636365,12.575763120454546
Japan,2.6338378227272727,5.354656618181818
Jordan,19.015827911363637,21.192541113636363
Kazakhstan,8.153878531818181,8.396108822727273
Kenya,5.3755698681818185,2.777493502272727
Kiribati,21.659205734090907,22.97435761363636
"Korea, Democratic People's Republic of",6.574312922727273,8.714578054545454
"Korea, Republic of",6.227833670454545,13.415427736363636
Kuwait,25.62937361363636,26.746834477272728
Kyrgyzstan,7.093288825681818,7.5454786977272725
Lao People's Democratic Republic,4.474923529545455,6.509213547727273
Latvia,11.346528727272728,12.194345704545453
Lebanon,16.713373804545455,21.401310704545455
Lesotho,10.830362661363637,3.099964420454546
Liberia,6.242820036363637,7.127495168181818
Libya,19.82072575,16.40644713636364
Lithuania,12.350565329545454,12.77230070909091
Low & Middle Income,5.989535506818182,5.267881065909091
Low Income,4.608695218181818,4.145372738636364
Luxembourg,8.76762813409091,11.106965938636364
Madagascar,1.1433923447727272,2.819054611363636
Malawi,2.96422894,1.7922607777272725
Malaysia,14.64694476590909,15.975772454545455
Maldives,10.258881627272727,11.376504229545453
Mali,5.946781102272727,4.789234704545454
Malta,15.909281040909091,20.06999318181818
Marshall Islands,23.134278197727273,21.645486795454545
Mauritania,13.151741579545455,5.059139686363636
Mauritius,11.77336529090909,12.02865230681818
Mexico,19.403864886363635,20.67725225
"Micronesia, Federated States of",24.446864711363638,22.211675590909092
"Moldova, Republic of",10.1460598,8.891926775
Mongolia,7.977166847727273,9.019029563636364
Montenegro,8.7113406,13.778199870454545
Morocco,10.433451929545454,7.034011118181818
Mozambique,3.5705613818181816,1.9532635747727272
Myanmar,4.529859495454546,7.4533826431818175
Namibia,6.857775984090909,5.053459459090909
Nauru,33.99599059090909,42.92339440909091
Nepal,3.2747391954545453,1.7010559347727272
Netherlands,7.018412086363637,7.716597870454546
New Zealand,19.895240454545455,20.849540977272728
Nicaragua,15.513269888636364,15.696623997727272
Niger,2.3966785420454544,3.756186661363636
Nigeria,5.234370338636364,3.7029800227272727
Niue,37.522512909090906,43.95495625
North Macedonia,13.461935477272727,16.62126968181818
Norway,7.910001493181818,10.041070459090909
Oman,18.077800863636362,18.81957511363636
Pakistan,8.0286451,8.049110993181818
Palau,26.389909977272726,29.865513977272727
"Palestine, State of",16.546719763636364,15.001764300000001
Panama,18.318625672727272,15.766807736363637
Papua New Guinea,12.435368725,15.421155272727274
Paraguay,15.498150981818183,17.100108938636364
Peru,14.56932101590909,15.444169277272728
Philippines,4.511321536363637,5.44782805
Poland,10.784016956818181,14.429529568181819
Portugal,12.44668079090909,13.557383009090909
Puerto Rico,25.820001704545458,21.367054318181818
Qatar,23.32085556818182,28.808772272727275
Romania,12.142001727272726,15.234081584090909
Russian Federation,11.190261031818181,12.800643561363637
Rwanda,2.391634649090909,1.1237842865909091
Saint Kitts and Nevis,26.496674090909092,25.43489372727273
Saint Lucia,22.58260515909091,17.602157409090907
Saint Vincent and the Grenadines,24.69855202272727,15.258327454545453
Samoa,31.66647690909091,26.470510522727274
Sao Tome and Principe,6.6845831409090914,5.24789285909091
Saudi Arabia,19.462259554545454,22.12391734090909
Senegal,4.330943247727273,2.0866077120454545
Serbia,11.471164288636363,15.885206084090909
Seychelles,20.417626795454545,14.957101572727272
Sierra Leone,4.870181177272728,1.7242443640909089
Singapore,8.630846513636364,16.859499095454545
Slovakia,12.192293186363635,15.647609154545455
Slovenia,10.530047425,15.44955665909091
Solomon Islands,8.970087452272727,9.801028261363637
Somalia,6.285913327272727,3.0554489545454544
South Africa,17.002597963636365,7.539468568181818
South Sudan,5.420966118181818,4.012574261363636
South-East Asia Region,4.380125340909091,4.087228113636364
Spain,11.960183679545453,15.567664159090908
Sri Lanka,7.2043133500000005,5.103687181818182
Sudan,6.736852193181818,6.6790730045454545
Suriname,18.55338810681818,18.235025318181815
Sweden,8.712002963636364,11.84636645
Switzerland,7.31141145,9.34588343409091
Syrian Arab Republic,18.539855136363638,16.960312636363636
Tajikistan,5.91952358409091,4.856411668181818
"Tanzania, United Republic of",4.280196575,2.0126160138636364
Thailand,9.451506247727274,12.674476575
Timor-Leste,1.0470232427272728,0.9405205299999999
Togo,4.938892720454546,3.1543228386363635
Tokelau,34.493331568181816,41.35505554545455
Tonga,39.05610675,34.104454045454546
Trinidad and Tobago,17.79479585,19.911607772727272
Tunisia,13.854039618181817,10.717606311363637
Turkmenistan,6.615501134090909,6.392336793181818
Tuvalu,33.89661888636363,34.00778240909091
Türkiye,16.564548375,13.259233184090908
Uganda,3.1826218772727275,3.1549516886363635
Ukraine,9.906997537954545,9.630202263636363
United Arab Emirates,21.061891954545455,23.620391295454546
United Kingdom,14.569252479545453,15.364762590909093
United States,24.48195018181818,25.989694931818182
Upper Middle Income,10.078778288636364,11.98506869090909
Uruguay,18.26134765,19.120021261363636
Uzbekistan,10.106930786363636,8.979847934090909
Vanuatu,9.830855981818182,14.01675120909091
"Venezuela, Bolivarian Republic of",14.49781620681818,15.475004113636363
Viet Nam,2.511583924772727,5.5292209136363635
Western Pacific Region,5.833031568181818,10.243733795454546
Yemen,8.49238415,8.85850925
Zambia,5.592313538636364,3.441511525
Zimbabwe,5.611687195454546,2.347178485681818
